object_id,annotation_type,annotation_text,annotation_uri
http://purl.org/collections/nl/ubvu/print-218010001027,Biblical person,Adam,null
http://purl.org/collections/nl/ubvu/print-218010001051,Theme,The great flood,null
http://purl.org/collections/nl/ubvu/print-218010001507,Theme,Straf van de ongehoorzame profeet,null
http://purl.org/collections/nl/ubvu/print-218010001163,Theme,Josepf tempted to whoredom,null
http://purl.org/collections/nl/ubvu/print-218010001187,Theme,Jacob blesses his sons,http://iconclass.org/71D243
http://purl.org/collections/nl/ubvu/print-218010002031,Theme,Magiërs uit het Oosten,null
http://purl.org/collections/nl/ubvu/print-218010001539,Biblical person,Nebuchadnezzar,http://bibleontology.com/resource/Nebuchadnezzar
http://purl.org/collections/nl/ubvu/print-218010001903,Theme,Christ aloft in the sky ~ Ascension,http://iconclass.org/73E422
http://purl.org/collections/nl/ubvu/print-218010001724,Biblical person,Man met huidvraat,null
http://purl.org/collections/nl/ubvu/print-218010001627,Theme,Cruelty against seven brothers,null
http://purl.org/collections/nl/ubvu/print-218010001255,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001791,Theme,the good Samaritan (Luke 10:30-37),http://iconclass.org/73C861
http://purl.org/collections/nl/ubvu/print-218010001174,Theme,the brothers of Joseph return to Jacob,null
http://purl.org/collections/nl/ubvu/print-218010001933,Biblical person,Silas,null
http://purl.org/collections/nl/ubvu/print-218010001925,Biblical person,Sergius Paulus,null
http://purl.org/collections/nl/ubvu/print-218010002032,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002014,Theme,David vlucht voor koning Saul. Saul wreekt zich op de priesters van Nob. David en Abjathar. Sauls leven loopt gevaar.,null
http://purl.org/collections/nl/ubvu/print-218010001224,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001224,Theme,Pharao and his army engulfed in the Red Sea ,null
http://purl.org/collections/nl/ubvu/print-218010001371,Biblical person,Sisera,null
http://purl.org/collections/nl/ubvu/print-218010001605,Theme,Susanna resists the temptation of the two judges,null
http://purl.org/collections/nl/ubvu/print-218010001696,Biblical person,Joseph_(Husband of Maria),http://bibleontology.com/resource/Joseph_Husband_of_Maria
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010001847,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010001817,Theme,Christ (in the temple) in debate with Pharisees about the tribute to Caesar (Matthew 22:15-22; Mark 12:13-17; Luke 20:20-26),http://iconclass.org/73C72473
http://purl.org/collections/nl/ubvu/print-218010002010,Biblical person,Samson,http://bibleontology.com/resource/Samson
http://purl.org/collections/nl/ubvu/print-218010001945,Biblical person,Paulus,null
http://purl.org/collections/nl/ubvu/print-218010001827,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001575,Biblical person,Ezekiel,http://bibleontology.com/resource/Ezekiel
http://purl.org/collections/nl/ubvu/print-218010001603,Biblical person,Tobias,null
http://purl.org/collections/nl/ubvu/print-218010002032,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010002032,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010002032,Theme,De duivel verzoekt Jezus in de woestijn.,null
http://purl.org/collections/nl/ubvu/print-218010002007,Theme,Aaron died on the top of the mount,null
http://purl.org/collections/nl/ubvu/print-218010002032,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010001839,Biblical person,caiahhas,null
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,dochter van Herodias,null
http://purl.org/collections/nl/ubvu/print-218010001239,Theme,the law-making on the Sinaï,null
http://purl.org/collections/nl/ubvu/print-218010001746,Theme,Jesus casts out devils into a herd of swine,null
http://purl.org/collections/nl/ubvu/print-218010001696,Theme,an angel appears to Joseph in a dream and admonishes him to return home,http://iconclass.org/73B68
http://purl.org/collections/nl/ubvu/print-218010001409,Theme,Ruth met haar schoonmoeder,null
http://purl.org/collections/nl/ubvu/print-218010001945,Biblical person,Paulus,null
http://purl.org/collections/nl/ubvu/print-218010002037,Biblical person,Johannes,null
http://purl.org/collections/nl/ubvu/print-218010001860,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001739,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002016,Theme,"Marriage of Salomo, ",null
http://purl.org/collections/nl/ubvu/print-218010002006,Theme,"two sons of Aaron, Nadab and Abihu, offer incense in their censers to God, who punishes them for this by sending a fire that kills them",http://iconclass.org/71E231
http://purl.org/collections/nl/ubvu/print-218010002012,Theme,De roeping van Samuel,null
http://purl.org/collections/nl/ubvu/print-218010001179,Biblical person,Joseph,http://bibleontology.com/resource/Joseph
http://purl.org/collections/nl/ubvu/print-218010001687,Theme,Jesus escape to Egypt,null
http://purl.org/collections/nl/ubvu/print-218010001860,Theme,Kruisweg,null
http://purl.org/collections/nl/ubvu/print-218010002015,Biblical person,Saul,http://bibleontology.com/resource/Saul
http://purl.org/collections/nl/ubvu/print-218010001577,Theme,other parables of Ezekiel,http://iconclass.org/71O948
http://purl.org/collections/nl/ubvu/print-218010002010,Theme,Samson is bound by Delilah with new ropes,http://iconclass.org/71F3732
http://purl.org/collections/nl/ubvu/print-218010001683,Theme,Offerings made by the wise men of the East,null
http://purl.org/collections/nl/ubvu/print-218010001503,Biblical person,Jeroboam,http://bibleontology.com/resource/Jeroboam
http://purl.org/collections/nl/ubvu/print-218010001389,Biblical person,Jefta,null
http://purl.org/collections/nl/ubvu/print-218010001211,Biblical person,Aäron,null
http://purl.org/collections/nl/ubvu/print-218010001929,Biblical person,Silas,null
http://purl.org/collections/nl/ubvu/print-218010002015,Theme,Israel fled before the Philistines and slain  in mount Gilboa,null
http://purl.org/collections/nl/ubvu/print-218010002032,Biblical person,duivel,null
http://purl.org/collections/nl/ubvu/print-218010001687,Theme,De vlucht voor Herodus,null
http://purl.org/collections/nl/ubvu/print-218010001603,Biblical person,Rafaël,null
http://purl.org/collections/nl/ubvu/print-218010002012,Biblical person,Dagon,null
http://purl.org/collections/nl/ubvu/print-218010002032,Theme,Een centurio vraagt Jezus om hulp voor zijn zieke slaaf,null
http://purl.org/collections/nl/ubvu/print-218010001179,Theme,Jozef maakt zich aan zijn broers bekend.,null
http://purl.org/collections/nl/ubvu/print-218010001110,Biblical person,Rebekka,null
http://purl.org/collections/nl/ubvu/print-218010002038,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,Jezus,null
http://purl.org/collections/nl/ubvu/print-218010002014,Biblical person,Saul,null
http://purl.org/collections/nl/ubvu/print-218010001151,Theme,Simeon and Levi kill the Sichemites,null
http://purl.org/collections/nl/ubvu/print-218010001032,Biblical person,Eve,http://bibleontology.com/resource/Eve
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,Jakobus,null
http://purl.org/collections/nl/ubvu/print-218010001555,Biblical person,Ahasverus,null
http://purl.org/collections/nl/ubvu/print-218010001795,Theme,Jezus op bezoek bij Maria en Martha,null
http://purl.org/collections/nl/ubvu/print-218010001095,Biblical person,ismael,null
http://purl.org/collections/nl/ubvu/print-218010001847,Theme,Jezus wordt door de raad van oudsten naar Pilatus gestuurd.,null
http://purl.org/collections/nl/ubvu/print-218010001759,Theme,The paralysed man is lowered through the tiling.,null
http://purl.org/collections/nl/ubvu/print-218010001554,Theme,Safan leest een boekrol voor aan koning Josia,null
http://purl.org/collections/nl/ubvu/print-218010001469,Theme,1 Samuel 24: 12,null
http://purl.org/collections/nl/ubvu/print-218010001687,Biblical person,Joseph_(Husband of Maria),http://bibleontology.com/resource/Joseph_Husband_of_Maria
http://purl.org/collections/nl/ubvu/print-218010001397,Biblical person,Somson,null
http://purl.org/collections/nl/ubvu/print-218010001210,Biblical person,Aäron,null
http://purl.org/collections/nl/ubvu/print-218010001903,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001469,Theme,David shows Saul the skirt of his robe,null
http://purl.org/collections/nl/ubvu/print-218010001696,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001750,Biblical person,hoveling uit Kafarnaüm,null
http://purl.org/collections/nl/ubvu/print-218010001409,Theme,Ruth accompanies her mother in law,null
http://purl.org/collections/nl/ubvu/print-218010001746,Theme,Christ healing possessed people,http://iconclass.org/73C43
http://purl.org/collections/nl/ubvu/print-218010001696,Biblical person,Maria mother of Jesus,null
http://purl.org/collections/nl/ubvu/print-218010001511,Biblical person,Rivier de Kerit (Chertih brook),null
http://purl.org/collections/nl/ubvu/print-218010002009,Biblical person,Gideon,http://bibleontology.com/resource/Gideon
http://purl.org/collections/nl/ubvu/print-218010001143,Theme,Jacob wrestles with the angel (or man) till daybreak; Jacob's thigh is put out of joint,http://iconclass.org/71C3222
http://purl.org/collections/nl/ubvu/print-218010001621,Theme,the courage of Eleaz,null
http://purl.org/collections/nl/ubvu/print-218010001051,Theme,the Flood and destruction of mankind ~ story of Noah (Genesis 7:10 - 8:17),http://iconclass.org/71B33
http://purl.org/collections/nl/ubvu/print-218010002007,Theme,Balaks presents for Bileam,null
http://purl.org/collections/nl/ubvu/print-218010001033,Biblical person,Cain,null
http://purl.org/collections/nl/ubvu/print-218010001718,Biblical person,Johannes de Doper,null
http://purl.org/collections/nl/ubvu/print-218010002023,Theme,crowning of Esther,http://iconclass.org/71Q24
http://purl.org/collections/nl/ubvu/print-218010001687,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001143,Biblical person,jacob,null
http://purl.org/collections/nl/ubvu/print-218010001835,Theme,Jezus vindt zijn leerlingen slapende,null
http://purl.org/collections/nl/ubvu/print-218010002033,Theme,De dochter van Herodias brengt Herodes het hoofd van Johannes.,null
http://purl.org/collections/nl/ubvu/print-218010001664,Theme,The annonciation of the birthe of Jesus,null
http://purl.org/collections/nl/ubvu/print-218010001517,Biblical person,Elijah,http://bibleontology.com/resource/Elijah
http://purl.org/collections/nl/ubvu/print-218010001333,Theme,Achan and his family are stoned and burned (aftermath of the fall of Jericho),http://iconclass.org/71E52561
http://purl.org/collections/nl/ubvu/print-218010001724,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002033,Theme,John Baptist beheaded in the prison,null
http://purl.org/collections/nl/ubvu/print-218010002012,Biblical person,Samuel,null
http://purl.org/collections/nl/ubvu/print-218010001380,Theme,pursuit of the Midianites by Gideon's men,http://iconclass.org/71F2165
http://purl.org/collections/nl/ubvu/print-218010001529,Theme,Sennacherib's army slain,null
http://purl.org/collections/nl/ubvu/print-218010002040,Theme,Revelation of John,null
http://purl.org/collections/nl/ubvu/print-218010001873,Biblical person,Christ,null
http://purl.org/collections/nl/ubvu/print-218010001675,Biblical person,Christ,null
http://purl.org/collections/nl/ubvu/print-218010001779,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010002010,Theme,Samson ties three hundred foxes two by two by their tails with a fire-brand in between; with the torches on fire he lets them go into the cornfields of the Philistines which are set aflame,http://iconclass.org/71F343
http://purl.org/collections/nl/ubvu/print-218010001917,Biblical person,"Saul -Act IX, 4",null
http://purl.org/collections/nl/ubvu/print-218010001329,Theme,Vernietiging van Jericho,null
http://purl.org/collections/nl/ubvu/print-218010002023,Theme,Queen Vashti (Astin) gives a banquet for the women ~ story of Esther,http://iconclass.org/71Q211
http://purl.org/collections/nl/ubvu/print-218010001929,Biblical person,Paulus,null
http://purl.org/collections/nl/ubvu/print-218010001243,Biblical person,Molen golden calf,null
http://purl.org/collections/nl/ubvu/print-218010001453,Biblical person,Agag,null
http://purl.org/collections/nl/ubvu/print-218010002039,Theme,Dead of Herod,null
http://purl.org/collections/nl/ubvu/print-218010001095,Biblical person,"Ismaël, zoon van Hagar en Abraham",null
http://purl.org/collections/nl/ubvu/print-218010002037,Biblical person,peter,null
http://purl.org/collections/nl/ubvu/print-218010001899,Theme,christ appeard to his disciples at the Sea of Tiberias (John 21),null
http://purl.org/collections/nl/ubvu/print-218010001891,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001413,Biblical person,Boaz,null
http://purl.org/collections/nl/ubvu/print-218010002003,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001521,Biblical person,naaman,null
http://purl.org/collections/nl/ubvu/print-218010001507,Theme,De ongehoorzame profeet,null
http://purl.org/collections/nl/ubvu/print-218010001038,Theme,God gives Kaïn a sign,null
http://purl.org/collections/nl/ubvu/print-218010001895,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001019,Biblical person,Adam,null
http://purl.org/collections/nl/ubvu/print-218010002023,Biblical person,Mordecai,http://bibleontology.com/resource/Mordecai
http://purl.org/collections/nl/ubvu/print-218010002005,Biblical person,Mozes,null
http://purl.org/collections/nl/ubvu/print-218010002035,Theme,Jesus' triumf in Jerusalem on donkey,null
http://purl.org/collections/nl/ubvu/print-218010002010,Theme,Samson kills the lion with his bare hands,http://iconclass.org/71F325
http://purl.org/collections/nl/ubvu/print-218010001067,Theme,Abram frees Lot the women and teh good,null
http://purl.org/collections/nl/ubvu/print-218010001262,Theme,God punishes Israel with fire,null
http://purl.org/collections/nl/ubvu/print-218010001211,Biblical person,Moses,http://bibleontology.com/resource/Moses
http://purl.org/collections/nl/ubvu/print-218010001727,Biblical person,Simon Petrus,null
http://purl.org/collections/nl/ubvu/print-218010001155,Biblical person,Joseph,null
http://purl.org/collections/nl/ubvu/print-218010001027,Biblical person,Adam,null
http://purl.org/collections/nl/ubvu/print-218010002016,Theme,Solomon's idolatry,http://iconclass.org/71I53
http://purl.org/collections/nl/ubvu/print-218010001826,Biblical person,discipelen van Jezus,null
http://purl.org/collections/nl/ubvu/print-218010002031,Biblical person,Mary_(Mother_of_Jesus),http://bibleontology.com/resource/Mary_Mother_of_Jesus
http://purl.org/collections/nl/ubvu/print-218010001713,Biblical person,Jesus,http://bibleontology.com/resource/Jesus
http://purl.org/collections/nl/ubvu/print-218010001411,Biblical person,Boaz,null
http://purl.org/collections/nl/ubvu/print-218010002033,Biblical person,Petrus,null
http://purl.org/collections/nl/ubvu/print-218010002033,Theme,Een vader met een maanzieke zoon vraagt Jezus om hulp.,null
http://purl.org/collections/nl/ubvu/print-218010001724,Theme,Genezing van de man met huidvraat.,null
http://purl.org/collections/nl/ubvu/print-218010001713,Theme,Jezus spreekt de Bergrede uit,null
http://purl.org/collections/nl/ubvu/print-218010001795,Biblical person,Martha,null
http://purl.org/collections/nl/ubvu/print-218010001807,Biblical person,Lazarus,null
http://purl.org/collections/nl/ubvu/print-218010001577,Biblical person,Ezekiel,http://bibleontology.com/resource/Ezekiel
